1772504438892 | ENTRY | spotID=-1
1772504603407 | ENTRY | spotID=-1
1772504809608 | ENTRY | spotID=-1
1772504812278 | SPOT_OCCUPIED | spotID=0
1772504925217 | ENTRY | spotID=-1
1772504927887 | SPOT_OCCUPIED | spotID=0
1772504931905 | SPOT_EMPTY | spotID=0
1772506751137 | ENTRY | spotID=-1
1772506753783 | SPOT_OCCUPIED | spotID=0
1772506777941 | SPOT_EMPTY | spotID=0
1772517645603 | ENTRY | spotID=-1
1772517648235 | SPOT_OCCUPIED | spotID=0
1772517650066 | ENTRY | spotID=-1
1772517652696 | SPOT_OCCUPIED | spotID=1
1772517654675 | SPOT_EMPTY | spotID=0
1772517658512 | SPOT_EMPTY | spotID=1
1772517663060 | ENTRY | spotID=-1
1772517665679 | SPOT_OCCUPIED | spotID=0
1772517666200 | ENTRY | spotID=-1
1772517668822 | SPOT_OCCUPIED | spotID=1
1772517670988 | SPOT_EMPTY | spotID=0
1772517674320 | SPOT_EMPTY | spotID=1
1772565101670 | ENTRY | spotID=-1
1772565104320 | SPOT_OCCUPIED | spotID=0
1772565105727 | ENTRY | spotID=-1
1772565108357 | SPOT_OCCUPIED | spotID=1
1772565109737 | ENTRY | spotID=-1
1772565112359 | SPOT_OCCUPIED | spotID=2
1772565113950 | ENTRY | spotID=-1
1772565116573 | SPOT_OCCUPIED | spotID=3
1772565664850 | ENTRY | spotID=-1
1772565667499 | SPOT_OCCUPIED | spotID=0
1772565857204 | ENTRY | spotID=-1
1772565859848 | SPOT_OCCUPIED | spotID=0
1772565863674 | SPOT_EMPTY | spotID=0
1772565866534 | ENTRY | spotID=-1
1772565869158 | SPOT_OCCUPIED | spotID=0
1772565871392 | ENTRY | spotID=-1
1772565874020 | SPOT_OCCUPIED | spotID=1
1772565875197 | ENTRY | spotID=-1
1772565877821 | SPOT_OCCUPIED | spotID=2
1772565879328 | ENTRY | spotID=-1
1772565881941 | SPOT_OCCUPIED | spotID=3
1772565882990 | ENTRY | spotID=-1
1772565885614 | SPOT_OCCUPIED | spotID=4
1772565886189 | ENTRY | spotID=-1
1772565888803 | SPOT_OCCUPIED | spotID=5
1772565889465 | ENTRY | spotID=-1
1772565892087 | SPOT_OCCUPIED | spotID=6
